Name,Rank,Arating,Grating,votes
San Juan (Second Edition),281,7.55,7.093,4281
Glen More,282,7.34,7.091,8011
Quadropolis,283,7.35,7.091,8590
Millennium Blades,284,7.8,7.0889999999999995,3070
BattleLore,285,7.37,7.087999999999999,8908
1775: Rebellion,286,7.73,7.087000000000001,3169
Sheriff of Nottingham,287,7.21,7.087000000000001,23548
Lord of the Rings: The Confrontation,288,7.49,7.085,5161
The Quacks of Quedlinburg,289,7.6,7.082999999999999,4220
Heroscape Master Set: Rise of the Valkyrie,290,7.43,7.08,7429
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,291,7.98,7.077999999999999,2372
Firefly: The Game,292,7.4,7.077999999999999,9029
Blood Bowl (Third Edition),293,7.55,7.077999999999999,4951
Altiplano,294,7.58,7.0760000000000005,4149
Pandemic: The Cure,295,7.34,7.0760000000000005,7841
Amun-Re,296,7.33,7.0760000000000005,8032
Kingsburg,297,7.21,7.0760000000000005,17163
Mansions of Madness,298,7.33,7.074,11918
Heaven & Ale,299,7.62,7.0729999999999995,3666
Forbidden Desert,300,7.2,7.072,20824
Shadows of Brimstone: City of the Ancients,301,8.01,7.071000000000001,2896
Amerigo,302,7.48,7.07,4859
Descent: Journeys in the Dark,303,7.32,7.066,10879
Innovation,304,7.24,7.066,12912
London (first edition),305,7.38,7.063,5962
Lost Cities,306,7.15,7.061,31738
Stockpile,307,7.56,7.059,4145
Bärenpark,308,7.38,7.058,6537
Spartacus: A Game of Blood & Treachery,309,7.46,7.058,6147
The Godfather: Corleone's Empire,310,7.63,7.056,3841
Sentinels of the Multiverse,311,7.28,7.055,13245
Dice Forge,312,7.34,7.0489999999999995,8450
Hanabi,313,7.14,7.047999999999999,31785
Archipelago,314,7.38,7.047000000000001,6433
The Grizzled,315,7.27,7.046,9792
Roads & Boats,316,7.72,7.045,2757
Egizia,317,7.44,7.044,4793
Raptor,318,7.41,7.042999999999999,5524
Biblios,319,7.21,7.042999999999999,12891
One Night Ultimate Werewolf,320,7.22,7.04,16825
Madeira,321,7.64,7.04,3245
Time's Up! Title Recall!,322,7.75,7.039,2671
Commands & Colors: Napoleonics,323,7.97,7.039,2218
Catan,324,7.19,7.039,84569
The Great Zimbabwe,325,7.78,7.039,2567
Mythic Battles: Pantheon,326,8.63,7.039,1802
"Labyrinth: The War on Terror, 2001 – ?",327,7.59,7.039,3763
Pandemic: Reign of Cthulhu,328,7.46,7.039,5815
Small World Underground,329,7.31,7.037999999999999,8640
Deus,330,7.35,7.0329999999999995,6104
