Arating,Grating,votes
6.96,6.705,6293
7.03,6.704,5688
8.00,6.702,1356
6.95,6.702,6528
7.41,6.702,2477
6.98,6.701,7777
7.11,6.697,3831
7.32,6.696,2620
6.85,6.696,10790
7.27,6.695,2652
7.39,6.695,2509
7.22,6.694,2898
7.56,6.693,1748
7.40,6.691,2688
7.41,6.691,2043
7.01,6.689,5049
6.93,6.687,6305
7.27,6.686,2679
6.98,6.683,5247
7.56,6.680,1859
7.10,6.678,3550
7.21,6.675,3007
7.04,6.673,4229
7.15,6.672,3330
7.40,6.672,2972
7.64,6.670,1552
7.46,6.668,1801
7.25,6.668,2586
7.96,6.667,1157
6.89,6.666,6873
7.29,6.666,2615
7.03,6.665,3836
7.01,6.664,4170
7.01,6.663,4299
6.90,6.660,6648
7.26,6.659,2417
6.81,6.659,20438
7.03,6.658,4435
7.01,6.658,4807
7.37,6.657,2033
6.79,6.657,13380
7.74,6.656,1394
6.90,6.655,6763
7.85,6.653,1278
7.12,6.652,3096
7.24,6.652,2488
7.50,6.651,1737
6.95,6.651,4985
7.31,6.650,2223
8.22,6.650,1090
7.03,6.648,5266
7.63,6.648,1571
6.97,6.648,4610
7.05,6.645,3619
7.40,6.644,1884
7.01,6.643,4093
7.07,6.643,3474
6.99,6.643,4276
6.97,6.642,4664
8.48,6.642,840
7.27,6.641,2306
7.18,6.640,2869
7.42,6.638,2215
6.73,6.638,17502
7.01,6.638,3859
7.33,6.637,2052
7.96,6.637,1152
7.11,6.637,3055
7.41,6.636,1973
7.29,6.635,2150
7.36,6.635,2159
7.23,6.633,2367
6.98,6.632,4016
7.06,6.630,3474
6.78,6.630,12463
7.72,6.629,1589
6.92,6.629,5009
6.94,6.629,4647
7.12,6.628,3037
7.37,6.628,2106
7.43,6.627,2185
7.02,6.626,4610
7.56,6.626,1515
7.41,6.626,2009
7.55,6.625,1692
7.22,6.625,2333
7.80,6.625,1448
7.03,6.624,3493
6.95,6.624,4406
7.94,6.624,1059
7.04,6.623,3425
7.36,6.622,1963
7.53,6.621,1513
7.72,6.620,1330
6.83,6.620,7506
6.89,6.620,7454
6.76,6.620,13098
7.04,6.619,3373
6.87,6.619,5571
7.62,6.619,1526
7.68,6.618,1593
7.19,6.617,2530
7.14,6.616,2558
6.99,6.616,3654
7.76,6.616,1252
7.20,6.615,2552
6.85,6.615,6090
6.98,6.613,3892
6.96,6.611,4043
7.54,6.611,1528
7.07,6.610,2900
8.98,6.608,676
7.07,6.607,2975
7.12,6.607,2806
7.38,6.606,1788
7.06,6.605,3433
7.04,6.604,3467
7.16,6.603,2476
7.33,6.603,1974
7.36,6.603,2222
7.50,6.602,1493
6.89,6.602,4777
7.17,6.602,2338
7.10,6.602,3162
6.85,6.602,5927
7.16,6.601,2545
6.88,6.601,5348
7.21,6.601,2447
8.00,6.599,1089
6.94,6.599,3949
7.14,6.598,2581
6.95,6.597,3899
8.09,6.597,983
7.51,6.597,1519
6.83,6.597,7316
6.90,6.596,5661
7.54,6.596,1686
8.04,6.595,1165
6.87,6.595,5414
6.92,6.595,4225
7.24,6.591,2227
7.18,6.591,2425
6.91,6.590,4476
7.99,6.590,1022
7.77,6.590,1205
6.97,6.590,3625
7.07,6.589,3054
7.28,6.589,2428
7.11,6.587,2683
7.58,6.586,1428
7.32,6.586,1881
7.02,6.586,3183
7.42,6.584,1688
7.13,6.583,2606
6.74,6.583,12096
7.04,6.582,2949
6.97,6.581,3912
7.41,6.581,1866
7.27,6.580,1899
6.89,6.579,4526
6.93,6.578,3932
6.78,6.577,7409
7.22,6.576,2162
7.06,6.576,2757
8.32,6.575,858
6.75,6.575,7975
6.97,6.573,4193
6.79,6.570,8475
7.74,6.570,1174
7.62,6.569,1373
7.32,6.568,1743
6.78,6.567,6708
6.81,6.566,5974
6.68,6.566,19816
6.93,6.564,3797
7.06,6.563,2766
7.26,6.563,2019
6.66,6.563,20984
7.72,6.562,1222
7.90,6.558,1040
6.76,6.557,6854
6.84,6.556,5522
7.92,6.556,1043
7.04,6.554,2911
7.51,6.554,1454
6.85,6.554,5074
7.01,6.554,2874
6.93,6.554,3445
8.28,6.554,829
6.88,6.553,4287
6.81,6.553,5265
6.85,6.552,4577
7.35,6.552,1628
6.99,6.549,2991
8.01,6.548,916
7.20,6.546,2024
6.86,6.545,4778
7.64,6.545,1863
7.03,6.535,2660
6.73,6.535,7376
6.96,6.535,3756
7.20,6.534,2043
6.87,6.531,4513
7.18,6.529,1935
7.27,6.529,1909
7.44,6.528,1420
6.67,6.528,12604
7.02,6.527,2550
6.96,6.527,3138
7.03,6.527,2771
7.17,6.527,2213
7.59,6.526,1394
6.86,6.525,3754
7.12,6.522,2098
7.43,6.522,1460
7.39,6.521,1484
6.97,6.521,2781
6.93,6.520,3756
6.85,6.520,4070
7.01,6.520,3130
7.25,6.519,1777
7.04,6.519,2376
7.63,6.519,1139
6.88,6.517,4870
7.26,6.517,1718
7.03,6.517,2425
7.55,6.516,1606
6.66,6.516,9306
7.24,6.516,1769
7.03,6.516,2812
7.18,6.515,1924
7.04,6.515,2760
6.78,6.514,5111
7.19,6.513,1828
6.72,6.512,6670
8.01,6.511,916
7.16,6.510,2138
7.20,6.510,1866
7.57,6.509,1189
6.92,6.509,2963
7.11,6.509,2099
6.91,6.508,3137
6.86,6.508,3902
7.05,6.507,2312
8.00,6.507,918
7.24,6.507,1672
7.56,6.507,1225
6.86,6.506,3735
7.27,6.504,1712
7.68,6.503,1081
7.39,6.503,1433
6.72,6.502,6287
7.18,6.501,1951
7.11,6.501,2596
6.69,6.501,7093
8.13,6.500,835
7.05,6.500,2277
7.63,6.499,1131
7.21,6.499,1829
6.81,6.497,4715
7.36,6.497,1464
6.60,6.497,21027
6.71,6.496,6478
6.79,6.496,4848
6.85,6.496,3644
7.82,6.496,929
6.94,6.493,2875
6.72,6.492,5658
6.88,6.492,3178
6.70,6.492,8022
7.05,6.492,3291
6.92,6.490,2990
7.30,6.489,1724
6.87,6.489,3668
6.84,6.488,3762
7.10,6.487,2116
7.14,6.486,1862
6.92,6.485,2974
7.67,6.483,1069
6.91,6.483,2811
7.38,6.483,1503
6.98,6.482,2642
6.93,6.481,2880
7.00,6.481,2577
7.17,6.481,1779
7.31,6.480,1479
6.66,6.480,9165
6.79,6.479,4266
7.22,6.478,1981
7.00,6.477,2432
6.73,6.477,5417
7.52,6.476,1143
7.35,6.476,1407
7.39,6.475,1388
6.66,6.474,7269
7.34,6.474,1405
8.17,6.473,835
7.67,6.472,1061
7.26,6.472,1930
6.83,6.471,3326
6.86,6.471,3559
7.29,6.471,1465
6.82,6.470,3964
7.25,6.470,1568
7.33,6.470,1409
7.25,6.469,1740
6.65,6.469,7911
7.00,6.468,2368
6.71,6.468,5268
7.31,6.467,1451
6.85,6.467,3238
6.81,6.467,3671
7.45,6.467,1262
6.65,6.467,7249
7.11,6.466,1847
6.66,6.465,6899
7.29,6.465,1869
6.84,6.465,3247
7.11,6.465,2062
7.12,6.464,1915
6.61,6.464,9357
6.82,6.463,3728
7.45,6.463,1371
7.23,6.463,1520
7.55,6.463,1205
6.97,6.462,2912
6.93,6.460,2695
6.96,6.460,2395
6.99,6.460,2295
8.56,6.459,649
7.87,6.459,1015
7.01,6.459,2145
6.69,6.458,5362
7.49,6.458,1291
7.08,6.458,2055
6.86,6.456,2895
7.07,6.455,1941
6.89,6.455,2925
7.37,6.455,1470
7.11,6.454,1901
7.28,6.454,1592
6.83,6.454,3247
7.51,6.453,1482
6.88,6.453,2745
6.80,6.453,3515
7.17,6.453,1654
7.56,6.452,1060
6.70,6.452,5106
7.26,6.452,1716
7.35,6.451,1366
6.94,6.451,2814
7.50,6.450,1120
7.02,6.448,2029
7.61,6.446,1058
6.87,6.446,2781
7.48,6.445,1246
7.54,6.444,1152
7.13,6.443,2126
6.78,6.443,3626
6.70,6.443,4990
6.91,6.442,2516
7.17,6.442,1869
7.67,6.440,1066
7.51,6.439,1101
6.92,6.439,2527
6.72,6.438,4324
7.11,6.438,1896
6.80,6.437,3317
7.00,6.436,2030
6.81,6.436,3307
7.63,6.435,1049
7.13,6.435,1637
7.48,6.433,1426
6.91,6.433,2437
7.39,6.433,1233
7.17,6.433,1545
6.82,6.432,3246
7.13,6.432,1710
7.54,6.432,1255
7.44,6.430,1416
7.61,6.430,978
7.32,6.429,1389
7.51,6.428,1234
7.84,6.427,832
6.87,6.425,2719
7.38,6.425,1204
7.56,6.425,1102
7.15,6.425,1922
6.86,6.424,3137
6.93,6.423,2698
6.61,6.423,6582
6.54,6.423,17681
7.71,6.423,998
